Consumer_id,Block,Choice_id,Alternative,Choice,Origin,Manufacture,Energy,Nuts,Tokens,Organic,Premium,Fairtrade,Sugar,Price,Age_Group,Gender,Salary,Education,Employment,Location_by_region,Choco_Consumption,Sustainability_Score
3,5,14,3,0,Peru,UnderDeveloped,Low,Nuts only,No,Yes,Yes,No,High,5,2,1,4,2,1,1,2,-0.4435
3,5,15,1,0,Peru,UnderDeveloped,Low,No,No,No,Yes,Yes,Low,2,2,1,4,2,1,1,2,-0.4435
3,5,15,2,1,Ecuador,Developing,High,Nuts only,Keep & Use,Yes,Yes,No,High,2.76,2,1,4,2,1,1,2,-0.4435
3,5,15,3,0,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,4.95,2,1,4,2,1,1,2,-0.4435
4,3,16,1,1,Ecuador,Developing,High,Nuts only,No,No,Yes,No,High,5,2,2,4,2,1,2,2,0.1318
4,3,16,2,0,Venezuela,UnderDeveloped,Low,No,Donate,Yes,No,No,High,4,2,2,4,2,1,2,2,0.1318
4,3,16,3,0,Venezuela,Developed,Low,Nuts and Fruit,Keep & Use,No,No,Yes,Low,4,2,2,4,2,1,2,2,0.1318
4,3,17,1,0,Ecuador,UnderDeveloped,High,No,No,Yes,Yes,Yes,High,3,2,2,4,2,1,2,2,0.1318
4,3,17,2,0,Peru,Developed,Low,Nuts only,Keep & Use,No,No,No,High,4,2,2,4,2,1,2,2,0.1318
4,3,17,3,1,Venezuela,Developing,Low,Nuts and Fruit,Donate,Yes,Yes,Yes,Low,7,2,2,4,2,1,2,2,0.1318
4,3,18,1,0,Venezuela,Developing,High,Nuts and Fruit,Donate,No,No,No,High,3,2,2,4,2,1,2,2,0.1318
4,3,18,2,0,Peru,Developed,Low,No,No,No,Yes,No,Low,7,2,2,4,2,1,2,2,0.1318
4,3,18,3,1,Ecuador,UnderDeveloped,Low,Nuts only,Keep & Use,Yes,No,Yes,High,5,2,2,4,2,1,2,2,0.1318
4,3,19,1,0,Venezuela,Developed,Low,Nuts only,Keep & Use,No,No,No,Low,4,2,2,4,2,1,2,2,0.1318
4,3,19,2,0,Ecuador,UnderDeveloped,Low,Nuts and Fruit,Donate,Yes,Yes,Yes,Low,7,2,2,4,2,1,2,2,0.1318
4,3,19,3,1,Venezuela,Developing,High,No,Keep & Use,No,Yes,No,High,4,2,2,4,2,1,2,2,0.1318
4,3,20,1,0,Peru,UnderDeveloped,Low,No,No,No,Yes,Yes,Low,2,2,2,4,2,1,2,2,0.1318
4,3,20,2,1,Ecuador,Developing,High,Nuts only,Keep & Use,Yes,Yes,No,High,2.76,2,2,4,2,1,2,2,0.1318
4,3,20,3,0,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,4.95,2,2,4,2,1,2,2,0.1318
5,7,21,1,1,Peru,Developing,High,No,No,Yes,No,Yes,Low,3,1,2,3,2,1,1,2,-0.14945
5,7,21,2,0,Ecuador,Developed,Low,Nuts only,Donate,No,No,No,Low,5,1,2,3,2,1,1,2,-0.14945
5,7,21,3,0,Venezuela,UnderDeveloped,Low,Nuts and Fruit,Keep & Use,No,Yes,Yes,High,7,1,2,3,2,1,1,2,-0.14945
5,7,22,1,0,Peru,UnderDeveloped,Low,Nuts only,Donate,No,Yes,Yes,Low,4,1,2,3,2,1,1,2,-0.14945
5,7,22,2,0,Ecuador,Developing,High,No,No,No,No,Yes,High,5,1,2,3,2,1,1,2,-0.14945
5,7,22,3,1,Venezuela,Developed,Low,Nuts and Fruit,Keep & Use,Yes,Yes,No,High,4,1,2,3,2,1,1,2,-0.14945
5,7,23,1,1,Venezuela,Developed,Low,No,Donate,Yes,No,Yes,High,5,1,2,3,2,1,1,2,-0.14945
5,7,23,2,0,Venezuela,UnderDeveloped,Low,No,Keep & Use,No,No,No,Low,7,1,2,3,2,1,1,2,-0.14945
5,7,23,3,0,Ecuador,Developing,High,Nuts only,No,No,Yes,Yes,High,3,1,2,3,2,1,1,2,-0.14945
5,7,24,1,0,Peru,Developing,High,No,No,Yes,No,No,High,7,1,2,3,2,1,1,2,-0.14945
5,7,24,2,0,Ecuador,Developing,High,Nuts and Fruit,Donate,No,Yes,No,High,3,1,2,3,2,1,1,2,-0.14945
5,7,24,3,1,Venezuela,UnderDeveloped,Low,Nuts only,Keep & Use,Yes,No,Yes,Low,4,1,2,3,2,1,1,2,-0.14945
5,7,25,1,1,Peru,UnderDeveloped,Low,No,No,No,Yes,Yes,Low,2,1,2,3,2,1,1,2,-0.14945
5,7,25,2,0,Ecuador,Developing,High,Nuts only,Keep & Use,Yes,Yes,No,High,2.76,1,2,3,2,1,1,2,-0.14945
5,7,25,3,0,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,4.95,1,2,3,2,1,1,2,-0.14945
6,2,26,1,0,Peru,Developing,High,No,Keep & Use,Yes,Yes,No,Low,5,2,2,2,1,1,1,2,-0.61381
6,2,26,2,1,Venezuela,UnderDeveloped,Low,Nuts and Fruit,Donate,No,No,Yes,High,5,2,2,2,1,1,1,2,-0.61381
6,2,26,3,0,Ecuador,Developed,Low,Nuts only,No,No,No,No,Low,3,2,2,2,1,1,1,2,-0.61381
6,2,27,1,0,Venezuela,UnderDeveloped,Low,Nuts and Fruit,Donate,Yes,Yes,No,Low,7,2,2,2,1,1,1,2,-0.61381
6,2,27,2,0,Peru,Developed,Low,No,Keep & Use,Yes,Yes,Yes,High,3,2,2,2,1,1,1,2,-0.61381
6,2,27,3,1,Venezuela,Developing,High,Nuts only,Donate,No,No,Yes,Low,5,2,2,2,1,1,1,2,-0.61381
6,2,28,1,0,Peru,Developing,High,Nuts only,Keep & Use,No,Yes,Yes,Low,4,2,2,2,1,1,1,2,-0.61381
6,2,28,2,0,Venezuela,Developed,Low,Nuts only,Donate,Yes,No,No,Low,4,2,2,2,1,1,1,2,-0.61381
6,2,28,3,1,Venezuela,UnderDeveloped,Low,No,No,Yes,Yes,No,High,5,2,2,2,1,1,1,2,-0.61381
6,2,29,1,0,Ecuador,Developed,Low,No,Keep & Use,No,Yes,No,Low,5,2,2,2,1,1,1,2,-0.61381
6,2,29,2,1,Venezuela,UnderDeveloped,Low,Nuts and Fruit,No,Yes,Yes,Yes,High,4,2,2,2,1,1,1,2,-0.61381
6,2,29,3,0,Venezuela,Developing,High,Nuts only,No,Yes,No,Yes,High,4,2,2,2,1,1,1,2,-0.61381
6,2,30,1,0,Peru,UnderDeveloped,Low,No,No,No,Yes,Yes,Low,2,2,2,2,1,1,1,2,-0.61381
6,2,30,2,0,Ecuador,Developing,High,Nuts only,Keep & Use,Yes,Yes,No,High,2.76,2,2,2,1,1,1,2,-0.61381
6,2,30,3,1,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,4.95,2,2,2,1,1,1,2,-0.61381
7,6,31,1,1,Ecuador,Developed,Low,Nuts only,No,Yes,Yes,Yes,Low,7,1,2,3,2,1,1,2,-0.72296
7,6,31,2,0,Venezuela,Developing,High,No,No,Yes,No,Yes,Low,3,1,2,3,2,1,1,2,-0.72296
7,6,31,3,0,Venezuela,UnderDeveloped,Low,Nuts and Fruit,Keep & Use,Yes,No,No,High,4,1,2,3,2,1,1,2,-0.72296
7,6,32,1,0,Venezuela,Developing,High,Nuts and Fruit,Keep & Use,Yes,No,No,Low,3,1,2,3,2,1,1,2,-0.72296
7,6,32,2,1,Ecuador,Developing,High,Nuts only,No,Yes,Yes,Yes,Low,7,1,2,3,2,1,1,2,-0.72296
7,6,32,3,0,Peru,Developed,Low,Nuts only,Donate,No,No,Yes,High,4,1,2,3,2,1,1,2,-0.72296
7,6,33,1,1,Peru,Developing,High,Nuts and Fruit,Keep & Use,Yes,Yes,Yes,Low,4,1,2,3,2,1,1,2,-0.72296
7,6,33,2,0,Venezuela,UnderDeveloped,Low,Nuts only,No,No,No,Yes,Low,5,1,2,3,2,1,1,2,-0.72296
7,6,33,3,0,Ecuador,Developed,High,No,Donate,No,No,No,High,5,1,2,3,2,1,1,2,-0.72296
7,6,34,1,0,Venezuela,Developed,Low,No,No,No,No,No,High,7,1,2,3,2,1,1,2,-0.72296
7,6,34,2,0,Venezuela,Developing,High,Nuts only,Keep & Use,Yes,No,No,High,4,1,2,3,2,1,1,2,-0.72296
7,6,34,3,1,Peru,UnderDeveloped,Low,No,Donate,Yes,Yes,Yes,Low,3,1,2,3,2,1,1,2,-0.72296
7,6,35,1,0,Peru,UnderDeveloped,Low,No,No,No,Yes,Yes,Low,2,1,2,3,2,1,1,2,-0.72296
7,6,35,2,1,Ecuador,Developing,High,Nuts only,Keep & Use,Yes,Yes,No,High,2.76,1,2,3,2,1,1,2,-0.72296
7,6,35,3,0,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,4.95,1,2,3,2,1,1,2,-0.72296
8,8,36,1,1,Venezuela,Developing,High,Nuts and Fruit,Donate,Yes,Yes,Yes,High,4,2,2,3,2,1,1,2,-0.72257
8,8,36,2,0,Ecuador,UnderDeveloped,Low,Nuts only,No,No,No,No,High,3,2,2,3,2,1,1,2,-0.72257
8,8,36,3,0,Venezuela,UnderDeveloped,Low,No,Donate,No,Yes,No,Low,7,2,2,3,2,1,1,2,-0.72257
8,8,37,1,0,Venezuela,UnderDeveloped,Low,No,Donate,Yes,Yes,No,Low,3,2,2,3,2,1,1,2,-0.72257
8,8,37,2,1,Peru,Developed,Low,Nuts and Fruit,Keep & Use,No,Yes,Yes,High,5,2,2,3,2,1,1,2,-0.72257
8,8,37,3,0,Ecuador,Developing,High,Nuts only,No,Yes,No,No,Low,7,2,2,3,2,1,1,2,-0.72257
8,8,38,1,0,Ecuador,UnderDeveloped,Low,Nuts and Fruit,Keep & Use,No,No,No,Low,3,2,2,3,2,1,1,2,-0.72257
8,8,38,2,1,Venezuela,Developing,High,Nuts only,Donate,Yes,Yes,No,Low,5,2,2,3,2,1,1,2,-0.72257
8,8,38,3,0,Peru,Developed,Low,No,Donate,No,No,Yes,High,5,2,2,3,2,1,1,2,-0.72257
8,8,39,1,1,Venezuela,Developed,Low,Nuts only,Keep & Use,No,Yes,No,High,7,2,2,3,2,1,1,2,-0.72257
8,8,39,2,0,Peru,UnderDeveloped,Low,Nuts and Fruit,Donate,No,Yes,Yes,Low,7,2,2,3,2,1,1,2,-0.72257
8,8,39,3,0,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,3,2,2,3,2,1,1,2,-0.72257
8,8,40,1,1,Peru,UnderDeveloped,Low,No,No,No,Yes,Yes,Low,2,2,2,3,2,1,1,2,-0.72257
8,8,40,2,0,Ecuador,Developing,High,Nuts only,Keep & Use,Yes,Yes,No,High,2.76,2,2,3,2,1,1,2,-0.72257
8,8,40,3,0,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,4.95,2,2,3,2,1,1,2,-0.72257
9,2,41,1,0,Peru,Developing,High,No,Keep & Use,Yes,Yes,No,Low,5,1,2,3,2,1,1,2,-0.7527
9,2,41,2,1,Venezuela,UnderDeveloped,Low,Nuts and Fruit,Donate,No,No,Yes,High,5,1,2,3,2,1,1,2,-0.7527
9,2,41,3,0,Ecuador,Developed,Low,Nuts only,No,No,No,No,Low,3,1,2,3,2,1,1,2,-0.7527
9,2,42,1,0,Venezuela,UnderDeveloped,Low,Nuts and Fruit,Donate,Yes,Yes,No,Low,7,1,2,3,2,1,1,2,-0.7527
9,2,42,2,1,Peru,Developed,Low,No,Keep & Use,Yes,Yes,Yes,High,3,1,2,3,2,1,1,2,-0.7527
9,2,42,3,0,Venezuela,Developing,High,Nuts only,Donate,No,No,Yes,Low,5,1,2,3,2,1,1,2,-0.7527
9,2,43,1,0,Peru,Developing,High,Nuts only,Keep & Use,No,Yes,Yes,Low,4,1,2,3,2,1,1,2,-0.7527
9,2,43,2,0,Venezuela,Developed,Low,Nuts only,Donate,Yes,No,No,Low,4,1,2,3,2,1,1,2,-0.7527
9,2,43,3,1,Venezuela,UnderDeveloped,Low,No,No,Yes,Yes,No,High,5,1,2,3,2,1,1,2,-0.7527
9,2,44,1,0,Ecuador,Developed,Low,No,Keep & Use,No,Yes,No,Low,5,1,2,3,2,1,1,2,-0.7527
9,2,44,2,1,Venezuela,UnderDeveloped,Low,Nuts and Fruit,No,Yes,Yes,Yes,High,4,1,2,3,2,1,1,2,-0.7527
9,2,44,3,0,Venezuela,Developing,High,Nuts only,No,Yes,No,Yes,High,4,1,2,3,2,1,1,2,-0.7527
9,2,45,1,1,Peru,UnderDeveloped,Low,No,No,No,Yes,Yes,Low,2,1,2,3,2,1,1,2,-0.7527
9,2,45,2,0,Ecuador,Developing,High,Nuts only,Keep & Use,Yes,Yes,No,High,2.76,1,2,3,2,1,1,2,-0.7527
9,2,45,3,0,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,4.95,1,2,3,2,1,1,2,-0.7527
10,8,46,1,0,Venezuela,Developing,High,Nuts and Fruit,Donate,Yes,Yes,Yes,High,4,1,1,3,2,1,1,2,-0.72643
10,8,46,2,0,Ecuador,UnderDeveloped,Low,Nuts only,No,No,No,No,High,3,1,1,3,2,1,1,2,-0.72643
10,8,46,3,1,Venezuela,UnderDeveloped,Low,No,Donate,No,Yes,No,Low,7,1,1,3,2,1,1,2,-0.72643
10,8,47,1,0,Venezuela,UnderDeveloped,Low,No,Donate,Yes,Yes,No,Low,3,1,1,3,2,1,1,2,-0.72643
10,8,47,2,1,Peru,Developed,Low,Nuts and Fruit,Keep & Use,No,Yes,Yes,High,5,1,1,3,2,1,1,2,-0.72643
10,8,47,3,0,Ecuador,Developing,High,Nuts only,No,Yes,No,No,Low,7,1,1,3,2,1,1,2,-0.72643
10,8,48,1,0,Ecuador,UnderDeveloped,Low,Nuts and Fruit,Keep & Use,No,No,No,Low,3,1,1,3,2,1,1,2,-0.72643
10,8,48,2,0,Venezuela,Developing,High,Nuts only,Donate,Yes,Yes,No,Low,5,1,1,3,2,1,1,2,-0.72643
10,8,48,3,1,Peru,Developed,Low,No,Donate,No,No,Yes,High,5,1,1,3,2,1,1,2,-0.72643
10,8,49,1,0,Venezuela,Developed,Low,Nuts only,Keep & Use,No,Yes,No,High,7,1,1,3,2,1,1,2,-0.72643
10,8,49,2,1,Peru,UnderDeveloped,Low,Nuts and Fruit,Donate,No,Yes,Yes,Low,7,1,1,3,2,1,1,2,-0.72643
10,8,49,3,0,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,3,1,1,3,2,1,1,2,-0.72643
10,8,50,1,1,Peru,UnderDeveloped,Low,No,No,No,Yes,Yes,Low,2,1,1,3,2,1,1,2,-0.72643
10,8,50,2,0,Ecuador,Developing,High,Nuts only,Keep & Use,Yes,Yes,No,High,2.76,1,1,3,2,1,1,2,-0.72643
10,8,50,3,0,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,4.95,1,1,3,2,1,1,2,-0.72643
11,3,51,1,0,Ecuador,Developing,High,Nuts only,No,No,Yes,No,High,5,2,1,3,2,7,1,2,-0.5247
11,3,51,2,0,Venezuela,UnderDeveloped,Low,No,Donate,Yes,No,No,High,4,2,1,3,2,7,1,2,-0.5247
11,3,51,3,1,Venezuela,Developed,Low,Nuts and Fruit,Keep & Use,No,No,Yes,Low,4,2,1,3,2,7,1,2,-0.5247
11,3,52,1,0,Ecuador,UnderDeveloped,High,No,No,Yes,Yes,Yes,High,3,2,1,3,2,7,1,2,-0.5247
11,3,52,2,1,Peru,Developed,Low,Nuts only,Keep & Use,No,No,No,High,4,2,1,3,2,7,1,2,-0.5247
11,3,52,3,0,Venezuela,Developing,Low,Nuts and Fruit,Donate,Yes,Yes,Yes,Low,7,2,1,3,2,7,1,2,-0.5247
11,3,53,1,0,Venezuela,Developing,High,Nuts and Fruit,Donate,No,No,No,High,3,2,1,3,2,7,1,2,-0.5247
11,3,53,2,0,Peru,Developed,Low,No,No,No,Yes,No,Low,7,2,1,3,2,7,1,2,-0.5247
11,3,53,3,1,Ecuador,UnderDeveloped,Low,Nuts only,Keep & Use,Yes,No,Yes,High,5,2,1,3,2,7,1,2,-0.5247
11,3,54,1,1,Venezuela,Developed,Low,Nuts only,Keep & Use,No,No,No,Low,4,2,1,3,2,7,1,2,-0.5247
11,3,54,2,0,Ecuador,UnderDeveloped,Low,Nuts and Fruit,Donate,Yes,Yes,Yes,Low,7,2,1,3,2,7,1,2,-0.5247
11,3,54,3,0,Venezuela,Developing,High,No,Keep & Use,No,Yes,No,High,4,2,1,3,2,7,1,2,-0.5247
11,3,55,1,1,Peru,UnderDeveloped,Low,No,No,No,Yes,Yes,Low,2,2,1,3,2,7,1,2,-0.5247
11,3,55,2,0,Ecuador,Developing,High,Nuts only,Keep & Use,Yes,Yes,No,High,2.76,2,1,3,2,7,1,2,-0.5247
11,3,55,3,0,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,4.95,2,1,3,2,7,1,2,-0.5247
12,3,56,1,0,Ecuador,Developing,High,Nuts only,No,No,Yes,No,High,5,2,1,0,2,1,1,2,-1.35242
12,3,56,2,1,Venezuela,UnderDeveloped,Low,No,Donate,Yes,No,No,High,4,2,1,0,2,1,1,2,-1.35242
12,3,56,3,0,Venezuela,Developed,Low,Nuts and Fruit,Keep & Use,No,No,Yes,Low,4,2,1,0,2,1,1,2,-1.35242
12,3,57,1,1,Ecuador,UnderDeveloped,High,No,No,Yes,Yes,Yes,High,3,2,1,0,2,1,1,2,-1.35242
12,3,57,2,0,Peru,Developed,Low,Nuts only,Keep & Use,No,No,No,High,4,2,1,0,2,1,1,2,-1.35242
12,3,57,3,0,Venezuela,Developing,Low,Nuts and Fruit,Donate,Yes,Yes,Yes,Low,7,2,1,0,2,1,1,2,-1.35242
12,3,58,1,0,Venezuela,Developing,High,Nuts and Fruit,Donate,No,No,No,High,3,2,1,0,2,1,1,2,-1.35242
12,3,58,2,1,Peru,Developed,Low,No,No,No,Yes,No,Low,7,2,1,0,2,1,1,2,-1.35242
12,3,58,3,0,Ecuador,UnderDeveloped,Low,Nuts only,Keep & Use,Yes,No,Yes,High,5,2,1,0,2,1,1,2,-1.35242
12,3,59,1,0,Venezuela,Developed,Low,Nuts only,Keep & Use,No,No,No,Low,4,2,1,0,2,1,1,2,-1.35242
12,3,59,2,1,Ecuador,UnderDeveloped,Low,Nuts and Fruit,Donate,Yes,Yes,Yes,Low,7,2,1,0,2,1,1,2,-1.35242
12,3,59,3,0,Venezuela,Developing,High,No,Keep & Use,No,Yes,No,High,4,2,1,0,2,1,1,2,-1.35242
12,3,60,1,1,Peru,UnderDeveloped,Low,No,No,No,Yes,Yes,Low,2,2,1,0,2,1,1,2,-1.35242
12,3,60,2,0,Ecuador,Developing,High,Nuts only,Keep & Use,Yes,Yes,No,High,2.76,2,1,0,2,1,1,2,-1.35242
12,3,60,3,0,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,4.95,2,1,0,2,1,1,2,-1.35242
13,1,61,1,1,Venezuela,Developed,Low,Nuts only,No,No,Yes,Yes,High,3,2,2,3,2,1,1,2,-0.50505
13,1,61,2,0,Venezuela,UnderDeveloped,Low,Nuts only,Keep & Use,No,No,Yes,Low,5,2,2,3,2,1,1,2,-0.50505
13,1,61,3,0,Peru,Developing,High,No,Donate,Yes,No,No,High,7,2,2,3,2,1,1,2,-0.50505
13,1,62,1,0,Ecuador,UnderDeveloped,Low,Nuts and Fruit,Donate,Yes,No,No,High,3,2,2,3,2,1,1,2,-0.50505
13,1,62,2,0,Venezuela,Developed,Low,No,No,No,Yes,Yes,Low,3,2,2,3,2,1,1,2,-0.50505
13,1,62,3,1,Venezuela,Developing,High,Nuts and Fruit,Keep & Use,No,Yes,Yes,High,7,2,2,3,2,1,1,2,-0.50505
13,1,63,1,1,Ecuador,Developed,Low,Nuts only,No,Yes,Yes,Yes,High,7,2,2,3,2,1,1,2,-0.50505
13,1,63,2,0,Peru,Developing,High,No,Keep & Use,Yes,No,No,Low,4,2,2,3,2,1,1,2,-0.50505
13,1,63,3,0,Venezuela,UnderDeveloped,Low,Nuts and Fruit,Keep & Use,No,Yes,Yes,Low,3,2,2,3,2,1,1,2,-0.50505
13,1,64,1,0,Ecuador,Developing,High,Nuts only,Donate,Yes,No,Yes,Low,5,2,2,3,2,1,1,2,-0.50505
13,1,64,2,0,Venezuela,UnderDeveloped,Low,Nuts and Fruit,No,No,Yes,No,Low,3,2,2,3,2,1,1,2,-0.50505
13,1,64,3,1,Peru,Developed,Low,No,Keep & Use,Yes,No,Yes,High,5,2,2,3,2,1,1,2,-0.50505
13,1,65,1,0,Peru,UnderDeveloped,Low,No,No,No,Yes,Yes,Low,2,2,2,3,2,1,1,2,-0.50505
13,1,65,2,0,Ecuador,Developing,High,Nuts only,Keep & Use,Yes,Yes,No,High,2.76,2,2,3,2,1,1,2,-0.50505
13,1,65,3,1,Ecuador,Developing,High,No,No,Yes,No,Yes,Low,4.95,2,2,3,2,1,1,2,-0.50505
14,5,66,1,0,Venezuela,Developed,Low,Nuts and Fruit,Keep & Use,Yes,No,Yes,Low,4,1,2,3,2,1,1,2,-0.85406
14,5,66,2,1,Peru,Developing,High,No,No,Yes,Yes,No,High,3,1,2,3,2,1,1,2,-0.85406
14,5,66,3,0,Venezuela,Developing,High,No,Donate,No,Yes,No,Low,7,1,2,3,2,1,1,2,-0.85406
14,5,67,1,0,Venezuela,UnderDeveloped,Low,No,Keep & Use,No,Yes,Yes,High,5,1,2,3,2,1,1,2,-0.85406
14,5,67,2,0,Venezuela,Developed,Low,Nuts and Fruit,No,Yes,No,Yes,Low,7,1,2,3,2,1,1,2,-0.85406
14,5,67,3,1,Peru,UnderDeveloped,Low,Nuts only,No,Yes,Yes,No,High,3,1,2,3,2,1,1,2,-0.85406
14,5,68,1,1,Peru,UnderDeveloped,Low,Nuts only,Keep & Use,No,No,No,Low,4,1,2,3,2,1,1,2,-0.85406
14,5,68,2,0,Venezuela,Developing,High,Nuts and Fruit,Donate,No,No,Yes,High,4,1,2,3,2,1,1,2,-0.85406
14,5,68,3,0,Venezuela,Developed,Low,Nuts and Fruit,No,Yes,Yes,No,Low,7,1,2,3,2,1,1,2,-0.85406
